time_s,tip_displacement_m,tip_twist_deg,propeller_1_pitch_deg,propeller_1_yaw_deg,coupling_iterations,coupling_state_residual,coupling_load_residual,coupling_equilibrium_residual,coupling_converged
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,true
0.003154727237429624,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.006309454474859248,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.009464181712288872,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.012618908949718496,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.01577363618714812,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.018928363424577745,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.02208309066200737,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.025237817899436993,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.028392545136866617,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.03154727237429624,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.03470199961172586,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.03785672684915549,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.04101145408658512,2.5706292164269185e-5,0.011164595200269075,-0.008472038060179052,0.00016154296620032703,4,3.9319647775513467e-7,3.862087551687597e-5,1.9310437758438937e-5,true
0.04416618132401474,6.635058345200477e-5,0.043244595966558975,-0.03736426857853663,0.001057090611991857,3,9.297979421754327e-7,0.00010825170406311688,5.4125852031549875e-5,true
0.04732090856144436,5.122498082918889e-6,0.08111078366632361,-0.08084538912134469,0.0029994539710798676,3,1.036031142989495e-6,9.679913457875452e-5,4.8399567289346814e-5,true
0.050475635798873986,-0.0002831159410565509,0.1107695405004779,-0.12191216112424663,0.005350357881278037,4,5.295165388726365e-7,5.365294669242627e-5,2.6826473346296865e-5,true
0.05363036303630361,-0.0006695650039658747,0.14476818236057948,-0.1580937923519461,0.007735948505457417,4,4.721444190588023e-7,4.6155242717740134e-5,2.307762135894904e-5,true
0.056785090273733234,-0.0010591156655545618,0.17603401752893602,-0.18645406949018445,0.010982423213589037,4,6.648019728861497e-7,6.481620346633854e-5,3.2408101733244196e-5,true
0.059939817511162855,-0.001750628177371188,0.16877859191831387,-0.18435207263577782,0.015683926246065412,4,6.459607582963434e-7,6.45182112133667e-5,3.225910560656156e-5,true
0.06309454474859248,-0.0026249307880266953,0.14985859828202747,-0.1582635471138918,0.021880896002797478,4,7.068039219551049e-7,6.843343184988037e-5,3.421671592471183e-5,true
0.06624927198602211,-0.0033647239967767913,0.14920404074638643,-0.1330618389925313,0.030317181479410035,3,2.052079225696099e-6,0.0001762734331431738,8.813671657144038e-5,true
0.06940399922345172,-0.004221069631868916,0.1293770501499992,-0.09777896867362786,0.04194503075690568,3,2.0387524787878267e-6,0.0001866821669828996,9.334108349175808e-5,true
0.07255872646088135,-0.005079662833749285,0.10825762671955999,-0.05503425391590203,0.057046246572836135,4,8.4707487312723e-7,8.274277144181111e-5,4.1371385721019734e-5,true
0.07571345369831098,-0.005623468477886863,0.11744856389831379,-0.027876862843627673,0.07563139603882642,3,1.1463620270667912e-6,0.0001036353810456824,5.181769052267374e-5,true
0.0788681809357406,-0.006125309790338617,0.11980341784498212,-0.006219304446475339,0.09771182693111355,3,1.9664995103921973e-6,0.00018529019789237822,9.26450989466953e-5,true
0.08202290817317023,-0.006553812550702011,0.12444477216101393,0.016561645793083297,0.12321427406359427,4,6.983158794284482e-7,6.865219350092236e-5,3.432609675022426e-5,true
0.08517763541059985,-0.006730286406619188,0.1482366725650959,0.030372131928153145,0.151833959926543,4,3.3027440839465336e-7,3.248521063614962e-5,1.6242605317630467e-5,true
0.08833236264802947,-0.007031485914841031,0.14917817036611675,0.047292426469583974,0.18254304508604258,4,4.779994277801479e-7,4.771693301001317e-5,2.385846650485054e-5,true
0.0914870898854591,-0.007414103775740777,0.14973761835004828,0.06966989148063427,0.2144623395865198,4,7.02857526082689e-7,6.917421854868283e-5,3.4587109275885676e-5,true
0.09464181712288872,-0.007666443848805411,0.17015105144509365,0.08770025786801997,0.24722005811136277,4,3.875434570138961e-7,3.722684581835835e-5,1.8613422909396114e-5,true
0.09779654436031834,-0.008160114022469526,0.15569395265090188,0.11419081452791452,0.27976520872309546,4,3.870942103766095e-7,3.859214424344561e-5,1.929607212166572e-5,true
0.10095127159774797,-0.00871659112571666,0.13910715148456954,0.1455698673129096,0.31084136609501223,4,7.427196055558895e-7,7.229137191782384e-5,3.6145685959296316e-5,true
