iteration,cumulative_aero_time_s,wake_time_s,tip_u1_A_m,tip_u2_A_m,tip_u3_A_m,tip_OOP_m,tip_IP_m,tip_twist_deg,geometry_residual,load_residual,wake_force_residual,wake_circulation_residual,wake_converged
25.0,1.2587272727272727,0.050349090909090906,0.08681130764506288,0.00035394736309129294,-0.007925779643096952,-0.08681130764506288,-0.00035394736309129294,0.8100026445014441,0.0003923673649459541,0.0011794658224224222,6.948856595588922e-5,9.395824637620924e-5,1.0
26.0,1.3090763636363636,0.050349090909090906,0.08684047011588501,0.00035416387021692034,-0.007931172012155024,-0.08684047011588501,-0.00035416387021692034,0.8102529732750712,0.0002967946477670192,0.0009079217741331511,6.948862344875704e-5,9.395658396304057e-5,1.0
27.0,1.3594254545454545,0.050349090909090906,0.08686252495706091,0.00035432734955023537,-0.007935251708903577,-0.08686252495706091,-0.00035432734955023537,0.8104420603648038,0.0002244565347072913,0.0006977823677796177,6.948866825903778e-5,9.395532791341055e-5,1.0
28.0,1.4097745454545454,0.050349090909090906,0.08687920139701281,0.00035445077219307416,-0.007938337462766357,-0.08687920139701281,-0.00035445077219307416,0.8105848731530013,0.00016971821719951932,0.0005355053269767864,6.948870306934661e-5,9.39543790119539e-5,1.0
29.0,1.4601236363636363,0.050349090909090906,0.08689180889119022,0.00035454394260345235,-0.007940670889089493,-0.08689180889119022,-0.00035454394260345235,0.8106927255947795,0.00012830716217683932,0.00041042746122801275,6.948873003025533e-5,9.395366222775497e-5,1.0
30.0,1.5104727272727272,0.050349090909090906,0.08690133873494871,0.0003546142692785921,-0.00794243504915643,-0.08690133873494871,-0.0003546142692785921,0.8107741685812659,9.698511884139066e-5,0.000314186988055768,6.948875085414994e-5,9.395312084330498e-5,1.0
31.0,1.560821818181818,0.050349090909090906,0.08690854116960567,0.000354667348820254,-0.007943768578539765,-0.08690854116960567,-0.000354667348820254,0.8108356637582118,7.329865828933797e-5,0.0002402503975582884,6.948876690615351e-5,9.395271197448196e-5,1.0
32.0,1.611170909090909,0.050349090909090906,0.08691398386328328,0.00035470740818685677,-0.007944776428582715,-0.08691398386328328,-0.00035470740818685677,0.810882093324241,5.5389587610387324e-5,0.0001835288939461775,6.948877926746265e-5,9.395240321630401e-5,1.0
33.0,1.6615199999999999,0.050349090909090906,0.08691809624604742,0.00035473763933877565,-0.007945538024711386,-0.08691809624604742,-0.00035473763933877565,0.8109171456389651,4.185096381598461e-5,0.00014007007625785328,6.948878875456323e-5,9.395217007218691e-5,1.0
34.0,1.7118690909090908,0.050349090909090906,0.08692120310780228,0.0003547604523250704,-0.007946113457712482,-0.08692120310780228,-0.0003547604523250704,0.8109436068298137,3.161780377888512e-5,0.00010681185124039442,6.948879603984913e-5,9.395199404546088e-5,1.0
35.0,1.7622181818181817,0.050349090909090906,0.0869235500503557,0.00035477766660878257,-0.007946548179069625,-0.0869235500503557,-0.00035477766660878257,0.8109635812685994,2.3884172555966674e-5,8.138719561013665e-5,6.948880161626781e-5,9.395186114694447e-5,1.0
36.0,1.8125672727272726,0.050349090909090906,0.08692532276247986,0.00035479065565451805,-0.007946876559799391,-0.08692532276247986,-0.00035479065565451805,0.8109786582382312,1.8040312223096867e-5,6.197005732709426e-5,6.948880588603149e-5,9.395176082110613e-5,1.0
37.0,1.8629163636363635,0.050349090909090906,0.0869266616128541,0.0003548004561663934,-0.007947124586594509,-0.0869266616128541,-0.0003548004561663934,0.8109900379018059,1.3624986748742622e-5,4.715426853770973e-5,6.94888091495768e-5,9.395168508509848e-5,1.0
38.0,1.9132654545454544,0.050349090909090906,0.08692767269532051,0.0003548078506010298,-0.007947311903570517,-0.08692767269532051,-0.0003548078506010298,0.8109986264976624,1.0289373715626725e-5,3.5858767187877294e-5,6.948881163849415e-5,9.395162792370737e-5,1.0
39.0,1.9636145454545453,0.050349090909090906,0.08692843618691033,0.0003548134294827446,-0.007947453357906442,-0.08692843618691033,-0.0003548134294827446,0.8110051082685401,7.769714105892511e-6,2.7253663531748465e-5,6.948881354651405e-5,9.395158477431024e-5,1.0
40.0,2.0139636363636364,0.050349090909090906,0.08692901267102326,0.00035481763845815375,-0.007947560169569287,-0.08692901267102326,-0.00035481763845815375,0.8110099998042914,5.866602170914049e-6,2.0702740188134485e-5,6.94888149929074e-5,9.395155220722745e-5,1.0
