iteration,cumulative_aero_time_s,wake_time_s,tip_u1_A_m,tip_u2_A_m,tip_u3_A_m,tip_OOP_m,tip_IP_m,tip_twist_deg,geometry_residual,load_residual,wake_force_residual,wake_circulation_residual,wake_converged
1.0,0.050349090909090906,0.050349090909090906,0.0,0.0,0.0,0.0,-0.0,0.0,Inf,1.0,6.805050715780651e-5,9.424810957883923e-5,1.0
2.0,0.10069818181818181,0.050349090909090906,0.0201350040019973,2.0085702084381133e-5,-0.00042215446314071436,-0.0201350040019973,-2.0085702084381133e-5,0.19356391532343944,0.2050792293131244,0.7138377129149089,6.949531586024213e-5,9.613983085330037e-5,1.0
3.0,0.15104727272727272,0.050349090909090906,0.03571642784946737,6.270643187645793e-5,-0.001330008975733126,-0.03571642784946737,-6.270643187645793e-5,0.3416199958699685,0.15868671535198442,0.5211679423389809,6.969994476917146e-5,9.612070771940105e-5,1.0
4.0,0.20139636363636362,0.050349090909090906,0.04772816561710445,0.00011110446104044616,-0.002378285632407791,-0.04772816561710445,-0.00011110446104044616,0.45448154529181034,0.1223219490793938,0.3848313424459496,6.970243423213082e-5,9.58221099324666e-5,1.0
5.0,0.25174545454545455,0.050349090909090906,0.056964364275515184,0.00015719841496003687,-0.0033922472219965784,-0.056964364275515184,-0.00015719841496003687,0.5403639032280255,0.09405021170277342,0.2857963092660072,6.961591976440365e-5,9.539975056539651e-5,1.0
6.0,0.30209454545454545,0.050349090909090906,0.06405262873160893,0.0001976198093281257,-0.0042939544473137225,-0.06405262873160893,-0.0001976198093281257,0.6056539026986294,0.07217348583609064,0.21318143801161135,6.955728388466253e-5,9.50798864738634e-5,1.0
7.0,0.35244363636363635,0.050349090909090906,0.06948366912027729,0.00023144248449755964,-0.005057974786681409,-0.06948366912027729,-0.00023144248449755964,0.6552590120189604,0.055296210890050795,0.15964817738180928,6.952399827831886e-5,9.483777236798553e-5,1.0
8.0,0.40279272727272725,0.050349090909090906,0.073638947819099,0.00025892033561252496,-0.005685654304321684,-0.073638947819099,-0.00025892033561252496,0.6929294824165145,0.042304851004062075,0.11968097724097959,6.950540444936654e-5,9.465423030414645e-5,1.0
9.0,0.45314181818181815,0.050349090909090906,0.07681395700105062,0.00028080626148976857,-0.006190607974941803,-0.07681395700105062,-0.00028080626148976857,0.7215242866662062,0.03232328199599004,0.08978149122972691,6.949527898133765e-5,9.451501721436521e-5,1.0
10.0,0.5034909090909091,0.050349090909090906,0.07923701262538232,0.00029799904863175814,-0.006590825259506472,-0.07923701262538232,-0.00029799904863175814,0.7432206380778938,0.02466702277057097,0.06738492598974832,6.948998849282474e-5,9.440049254181066e-5,1.0
11.0,0.55384,0.050349090909090906,0.08108415098297511,0.0003113716847764866,-0.006904599058181401,-0.08108415098297511,-0.0003113716847764866,0.7596757036974489,0.018803459339168174,0.050617848189550174,6.94874179330858e-5,9.429144117517156e-5,1.0
12.0,0.6041890909090909,0.050349090909090906,0.08249083581884924,0.0003216976198178304,-0.007148614602631431,-0.08249083581884924,-0.0003216976198178304,0.7721503510473039,0.014319303561652837,0.038099365082692765,6.948634300689462e-5,9.420884676569157e-5,1.0
13.0,0.6545381818181818,0.050349090909090906,0.08356111821531938,0.00032962801107184797,-0.00733722063508316,-0.08356111821531938,-0.00032962801107184797,0.7816035491751328,0.010894611526126531,0.02868095435623116,6.948606133805903e-5,9.414628532164076e-5,1.0
