time_s,tip_displacement_m,tip_twist_deg,propeller_1_pitch_deg,propeller_1_yaw_deg,coupling_iterations,coupling_state_residual,coupling_load_residual,coupling_equilibrium_residual,coupling_converged
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,true
0.0005605180083225712,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.0011210360166451425,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.0016815540249677137,0.0,0.0,0.0,0.0,1,1.7031887696489772e-8,0.0,2.2689832797192592e-5,true
0.002242072033290285,2.1208025915558112e-7,8.615552429278208e-6,6.561939451254545e-6,7.166069436515853e-6,2,1.6371481477907694e-8,1.453498553191216e-5,7.267492765956685e-6,true
0.002802590041612856,1.2346634007750854e-6,3.7723711584542386e-5,3.342723855861784e-5,3.713442838017618e-5,2,7.326352359008458e-9,8.025122475831968e-6,4.01256123791976e-6,true
0.0033631080499354274,3.4836503504270735e-6,6.910757660894473e-5,9.100618392921068e-5,0.00010602041777651673,2,6.769851797773471e-9,7.339733058021951e-6,3.6698665296130306e-6,true
0.003923626058257999,6.73370252976794e-6,6.764240788002922e-5,0.00018127858665598754,0.00022755691408721446,2,5.351517106216266e-9,5.1199558349861376e-6,2.559977917484296e-6,true
0.00448414406658057,1.0599771933347104e-5,2.9123863440926144e-5,0.00029967124667145306,0.0004047349104109034,2,5.3546128698176895e-9,6.799646111706654e-6,3.3998230549789783e-6,true
0.005044662074903141,1.487410760922165e-5,-2.9331253411786266e-5,0.0004395818021492843,0.0006283254558700251,2,4.924902744036667e-9,5.036105734630949e-6,2.5180528673926174e-6,true
0.005605180083225712,1.9437223758554315e-5,-9.321227430477871e-5,0.0005950326360919966,0.0008871700235713591,2,6.399728222550625e-9,6.001957702043039e-6,3.000978856054933e-6,true
0.0061656980915482835,2.4219624681620762e-5,-0.00014974678229052546,0.0007619331065284731,0.0011726819323890462,2,5.656013507973072e-9,5.323434252420007e-6,2.661717126033249e-6,true
0.006726216099870855,2.9158217339303565e-5,-0.0001899248616340074,0.0009387982281972188,0.0014797462870424286,2,6.135368954285324e-9,5.3915562996939726e-6,2.6957781416781616e-6,true
0.007286734108193426,3.4179734112754404e-5,-0.0002112048763257041,0.001124712606889295,0.0018067988459919782,2,6.004191898233214e-9,5.3068181256062276e-6,2.653409062577944e-6,true
0.007847252116515997,3.9213356507218046e-5,-0.00021709211317535903,0.0013169790018385341,0.002154448638853706,2,3.967241271758609e-9,4.841924552672019e-6,2.4209622778220807e-6,true
0.008407770124838568,4.420774970500023e-5,-0.0002140332447576184,0.0015118604138433214,0.002523939855825289,2,6.790236006619383e-9,5.687783880566402e-6,2.8438919401100444e-6,true
0.00896828813316114,4.914136487586911e-5,-0.00020781125502052967,0.0017062255912034974,0.002916317025442645,2,2.619858672106688e-9,4.41606193823294e-6,2.208030962935876e-6,true
0.009528806141483711,5.4017195785086183e-5,-0.00020178206930235583,0.001898008547847301,0.003332396764274019,2,7.610512779469104e-9,6.041245956404882e-6,3.0206229781689005e-6,true
