system,elements,mode,frequency_hz,error_vs_320_percent,successive_change_percent,published_error_percent
wing,16,OOP1,6.634028839188552,-0.0056138335637445635,NaN,0.060766805257195244
wing,16,IP1,20.803526450048675,-0.021141510666022878,NaN,-0.6042692305366693
wing,16,OOP2,36.40711044128264,-0.3107309045835449,NaN,-0.6898242190871651
wing,16,T1,42.87282214656273,-0.003013592679124155,NaN,-1.4417881688213008
wing,16,OOP3,92.79186683802034,-1.0765455350852715,NaN,-0.555281493923121
coupled,16,f1,5.907016650736827,0.030569703562233208,NaN,NaN
coupled,16,f2,7.95798727345988,0.0024332444948926835,NaN,NaN
coupled,16,f3,8.529976698226058,0.0022704587268052023,NaN,NaN
coupled,16,f4,19.408978455958895,-0.0011182656564856508,NaN,NaN
coupled,16,f5,35.175715087478956,-0.03227204228145597,NaN,NaN
coupled,16,f6,39.226269033745155,-0.22981905327529306,NaN,NaN
coupled,16,f7,91.47607075954076,-0.968856081601932,NaN,NaN
coupled,16,f8,108.0876288605248,-0.3796620286613206,NaN,NaN
coupled,16,f9,114.43300404250894,-0.149241278972001,NaN,NaN
coupled,16,f10,156.63029371574248,-0.14023156318826446,NaN,NaN
wing,20,OOP1,6.636152468095806,0.026395519149913227,0.032011149766320024,0.09279740717655915
wing,20,IP1,20.810309124245343,0.011455079403255297,0.03260348293812054,-0.5718627604140325
wing,20,OOP2,36.46820028502737,-0.14345583665724693,0.16779646339486476,-0.5231852563355788
wing,20,T1,42.90134247701977,0.06350750283670159,0.06652310025110353,-1.3762241907591566
wing,20,OOP3,93.25805981773512,-0.5795470203212472,0.5024071565761012,-0.0556641113116374
coupled,20,f1,5.907939375213294,0.046195299445561666,0.015620820644746125,NaN
coupled,20,f2,7.957966561992841,0.0021729780444790237,-0.00026026011763491397,NaN
coupled,20,f3,8.53076778331111,0.01154484568353098,0.009274176390383637,NaN
coupled,20,f4,19.41375338412517,0.023483105202504184,0.024601645970756536,NaN
coupled,20,f5,35.21309196158485,0.07395127608564867,0.10625760986788801,NaN
coupled,20,f6,39.26788226468049,-0.12397774635353187,0.10608511071887872,NaN
coupled,20,f7,91.92720275188394,-0.48046478004101223,0.49316940331756154,NaN
coupled,20,f8,108.25041520346934,-0.2296279251083666,0.15060589695663484,NaN
coupled,20,f9,114.6044303514421,0.0003401040821637835,0.1498049538833035,NaN
coupled,20,f10,156.97903858416356,0.08211100527590887,0.22265480077181543,NaN
wing,24,OOP1,6.636139626614156,0.026201960136806868,-0.00019350793567518565,0.09260371967052539
wing,24,IP1,20.810869479673997,0.014148069759478688,0.002692681907356942,-0.5691854769517612
wing,24,OOP2,36.485782112268176,-0.0953136060392934,0.048211392674679665,-0.4752260985592449
wing,24,T1,42.89387108529512,0.046081156276645,-0.017415286546451636,-1.3933998039192708
wing,24,OOP3,93.4085311739464,-0.41913267732257564,0.1613494388639003,0.10559551382103294
coupled,24,f1,5.907387881418059,0.036856196174461786,-0.009334791036419432,NaN
coupled,24,f2,7.95784577852592,0.0006551771015272934,-0.001517767962200267,NaN
coupled,24,f3,8.529908358543343,0.0014692697346552208,-0.0100744128734509,NaN
coupled,24,f4,19.413636267883525,0.022879699246658447,-0.0006032642906661501,NaN
coupled,24,f5,35.2012931417003,0.04041958487459585,-0.03350691242173243,NaN
coupled,24,f6,39.284224487971024,-0.08241206562652481,0.04161727688898331,NaN
coupled,24,f7,91.98841635613692,-0.41419550106774894,0.06658921670683604,NaN
coupled,24,f8,108.33478085122293,-0.15187125275848423,0.07793563432991757,NaN
coupled,24,f9,114.54512619026175,-0.05140690316211005,-0.051746831251187064,NaN
coupled,24,f10,156.90473105279344,0.03473617950178198,-0.047335957743355195,NaN
wing,30,OOP1,6.630494050422343,-0.05889352852334051,-0.08507319781475564,0.007451740910147109
wing,30,IP1,20.796050767337398,-0.05706860339699249,-0.07120659879719105,-0.639986778129964
wing,30,OOP2,36.470104759951035,-0.13824103902982943,-0.04296838771031819,-0.5179902892770372
wing,30,T1,42.8477364450203,-0.06152372638529302,-0.1075553199268886,-1.4994564482291861
wing,30,OOP3,93.52211626122515,-0.2980420085797353,0.12160033548458404,0.2273242538046727
coupled,30,f1,5.9028666304815705,-0.03970754719898606,-0.07653553528642609,NaN
coupled,30,f2,7.957831452940902,0.0004751575425343546,-0.00018001837954750854,NaN
coupled,30,f3,8.528824065136979,-0.011242582397663625,-0.012711665363651647,NaN
coupled,30,f4,19.39933777765552,-0.05078894006551593,-0.07365178800459171,NaN
coupled,30,f5,35.15803333590627,-0.08252274867474041,-0.12289266084598571,NaN
coupled,30,f6,39.27964569473209,-0.09405801211134213,-0.011655552066036634,NaN
coupled,30,f7,92.09443170396479,-0.299424270940285,0.11524858457985232,NaN
coupled,30,f8,108.36857246210113,-0.1207267847766258,0.03119183941915349,NaN
coupled,30,f9,114.52226193066858,-0.07135756064136078,-0.019960918769423852,NaN
coupled,30,f10,156.74650753083824,-0.06613935286730044,-0.10084050423052604,NaN
wing,32,OOP1,6.636517505084071,0.0318977034868162,0.09084473367928503,0.09830324410362579
wing,32,IP1,20.81284351044722,0.023634987460829926,0.08074967356876961,-0.5597538917954115
wing,32,OOP2,36.514307963577124,-0.017204653341718057,0.1212039392731068,-0.3974141746395876
wing,32,T1,42.905019391401396,0.07208357362074036,0.1336895507994873,-1.3677715140197777
wing,32,OOP3,93.61634243582002,-0.1975894688306501,0.10075282549388831,0.3283061149073063
coupled,32,f1,5.907446242606061,0.03784449589148142,0.07758284933698789,NaN
coupled,32,f2,7.9579039736074115,0.0013864737915092462,0.0009113119188164376,NaN
coupled,32,f3,8.530815918827875,0.012109168557605798,0.023354376590289938,NaN
coupled,32,f4,19.41465317377889,0.02811899881083324,0.07894803574692855,NaN
coupled,32,f5,35.22000919402654,0.09360972536609502,0.17627794344508008,NaN
coupled,32,f6,39.30615632867698,-0.026629454391047247,0.06749203939089288,NaN
coupled,32,f7,92.2429848405388,-0.1386020261123222,0.1613052318423902,NaN
coupled,32,f8,108.41373009301464,-0.07910667985793207,0.0416704122676359,NaN
coupled,32,f9,114.67194788668552,0.059253851715013184,0.13070468002767122,NaN
coupled,32,f10,157.0107845038648,0.10235064165131647,0.1686015064639168,NaN
wing,36,OOP1,6.636681042386588,0.03436269309975426,0.0024642035885813485,0.10076987008427185
wing,36,IP1,20.813224302984292,0.025465023501558548,0.0018296036141451921,-0.5579345294587146
wing,36,OOP2,36.50816206521224,-0.03403323733269792,-0.016831479788737003,-0.4141787637418348
wing,36,T1,42.886931693376326,0.029895651226241604,-0.042157533737641195,-1.4093524290199388
wing,36,OOP3,93.6348480180616,-0.1778610574450057,0.01976746982426114,0.34813848254378055
coupled,36,f1,5.90733095650323,0.035892218586908164,-0.0019515387545743224,NaN
coupled,36,f2,7.957840823482366,0.0005929105515445343,-0.00079355223756572,NaN
coupled,36,f3,8.530319246998792,0.006286372981678667,-0.005822090569163052,NaN
coupled,36,f4,19.41484536240492,0.029109192484799706,0.0009899153196935018,NaN
coupled,36,f5,35.198905953974084,0.033635309626611765,-0.05991832635874328,NaN
coupled,36,f6,39.305499473759745,-0.02830013415646704,-0.0016711247768363968,NaN
coupled,36,f7,92.2167749665529,-0.16697659206414972,-0.02841394825980892,NaN
coupled,36,f8,108.43428557935152,-0.06016145441785081,0.018960224243969037,NaN
coupled,36,f9,114.61001244032069,0.0052108650522075806,-0.05401098307498131,NaN
coupled,36,f10,156.91565164338226,0.04169861072451653,-0.0605900166559592,NaN
wing,40,OOP1,6.6362146531224795,0.027332830958726184,-0.007027447320873126,0.09373534121386307
wing,40,IP1,20.81251199128139,0.022041752398171965,-0.0034223995885152014,-0.5613378342981812
wing,40,OOP2,36.52306487264507,0.006773351337518996,0.04082048120146453,-0.37352735230475886
wing,40,T1,42.90234916932834,0.06585552174602771,0.035949123295275776,-1.373909955567032
wing,40,OOP3,93.69692511722721,-0.11168196975251954,0.06629700424529705,0.4146662921736155
coupled,40,f1,5.9069768638911,0.02989594537261553,-0.005994121790997564,NaN
coupled,40,f2,7.957854526484145,0.0007651065445202221,0.00017219497201459433,NaN
coupled,40,f3,8.530436745371073,0.0076638801448369875,0.001377420573356325,NaN
