time_s,tip_displacement_m,tip_twist_deg,propeller_1_pitch_deg,propeller_1_yaw_deg,coupling_iterations,coupling_state_residual,coupling_load_residual,coupling_equilibrium_residual,coupling_converged
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,true
0.003154727237429624,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.006309454474859248,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.009464181712288872,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.012618908949718496,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.01577363618714812,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.018928363424577745,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.02208309066200737,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.025237817899436993,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.028392545136866617,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.03154727237429624,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.03470199961172586,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.03785672684915549,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,true
0.04101145408658512,2.325481090738747e-6,0.0009129606133160971,-0.0011354982867908688,-1.2330331626644718e-5,3,4.4924116144645624e-7,4.5552451893298314e-5,2.2776225946649157e-5,true
0.04416618132401474,1.3218244130923594e-5,0.004773968995234059,-0.005790321870638977,-6.511176088540406e-5,2,2.0605423544766137e-6,0.0001898990138799774,9.494950693998919e-5,true
0.04732090856144436,3.0623811223926726e-5,0.012130820228808637,-0.01452911621913291,-0.00017928337926609506,2,5.158497812845424e-7,7.792388723206137e-5,3.8961943616030686e-5,true
0.050475635798873986,3.6225703436132436e-5,0.020878166433135666,-0.025086886072408787,-0.0004328445633374858,2,1.3586557113682012e-6,0.00012859448350669654,6.429724175335278e-5,true
0.05363036303630361,5.447066493757618e-6,0.027913044612939867,-0.03438950024793718,-0.0009719060904995683,3,5.004365669177739e-7,4.8528716964836764e-5,2.4264358482437887e-5,true
0.056785090273733234,-7.721177401711816e-5,0.03135624115616735,-0.04027032785036717,-0.001823240395667719,3,3.776269765222136e-7,3.7153784212024076e-5,1.8576892106031066e-5,true
0.059939817511162855,-0.0002074769577666721,0.03155997751242746,-0.04215287945776546,-0.002841759683329682,2,1.9316885470101446e-6,0.0001957969394748792,9.789846973747177e-5,true
0.06309454474859248,-0.00036437721097396067,0.029700346956787728,-0.04079274747369986,-0.003884878769791252,2,3.533098814093526e-7,5.386263965482734e-5,2.693131982742295e-5,true
0.06624927198602211,-0.0005248606294516425,0.0266384398689542,-0.037494860246285504,-0.0048689817218729925,2,3.152992519074062e-7,3.1354359921788674e-5,1.567717996087739e-5,true
0.06940399922345172,-0.000672456484328147,0.02373658997699722,-0.033581618832272446,-0.005664643520040584,3,3.4303046608368274e-7,3.3613828764975204e-5,1.6806914382433338e-5,true
0.07255872646088135,-0.0007983051408570747,0.02256599602119535,-0.03017290008292197,-0.006064196977459242,2,6.118354059612844e-7,4.894958742914357e-5,2.447479371462465e-5,true
0.07571345369831098,-0.0009006363240977436,0.023274381971437056,-0.02775133950123388,-0.005894885639898603,2,1.546440095461215e-6,0.00015918884218359117,7.95944210918943e-5,true
0.0788681809357406,-0.0009802470984811163,0.025003369808329543,-0.026149271818031044,-0.0051274353701430304,2,6.987872502818766e-7,9.570379322027744e-5,4.785189661020723e-5,true
0.08202290817317023,-0.0010403054328371984,0.02728730858859687,-0.025102797618799657,-0.0037733954571042777,2,1.1558406758411404e-6,0.00011447134450938117,5.7235672254783474e-5,true
0.08517763541059985,-0.0010967575703025154,0.029590818318278693,-0.024094308970986616,-0.0017805312024251805,2,1.989994637964965e-6,0.0001963774723058179,9.818873615275933e-5,true
0.08833236264802947,-0.001169909984736692,0.03129045045660585,-0.022445140701236498,0.0008557868646314261,2,1.2412829245363622e-6,0.00017142318553233285,8.571159276613371e-5,true
0.0914870898854591,-0.0012671932077350373,0.03211779195595448,-0.019841559117377672,0.004019036435776253,3,4.655671911686556e-7,4.6476027814805574e-5,2.323801390737448e-5,true
0.09464181712288872,-0.0013804797097754433,0.032054380310818385,-0.01643596442245132,0.007596246398485916,2,1.7420196977835497e-6,0.00018792830059828294,9.396415029920938e-5,true
0.09779654436031834,-0.0014938746972443576,0.03140151798246739,-0.012622474380670098,0.011556890276183979,3,4.271480859226488e-7,4.345881460868034e-5,2.1729407304310496e-5,true
